S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
125,Sansevieria Silver Laurantii,Sansevieria Silver Laurantii,"Rs. 1,650.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-laurantii-nbsp,False,Plant,[],1
126,Sansevieria Green Mermaid Pup,Sansevieria Green Mermaid Pup,"Rs. 1,950.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-green-mermaid,False,Pup,[],1
127,Sansevieria Irish Bella,Sansevieria Irish Bella,"Rs. 1,350.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-irish-bella,False,Plant,[],1
128,S. Dragon Scales,S. Dragon Scales,"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/s-dragon-scales,False,Plant,[],1
129,Sansevieria Fighter Large Pup,Sansevieria Fighter Large Pup,Rs. 499.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-fighter-large-pup,False,Pup,[],1
130,Sansevieria Silver Sulfer,Sansevieria Silver Sulfer Large,Rs. 799.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-sulfer,False,Plant,[],1
131,Sansevieria Rahwana Large,Sansevieria Rahwana Large,"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-rahwana-large,False,Plant,[],1
132,Sansevieria Kesya,Sansevieria Kesya Large,"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-kesya,False,Plant,[],1
133,Sansevieria Argopuro With Mature Pup,Sansevieria Argopuro With Mature Pup,"Rs. 1,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-argopuro-with-mature-pup,False,Pup,[],1
134,Sansevieria Bella Silver,Sansevieria Bella Silver Large Plant,Rs. 999.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-bella-silver,False,Plant,[],1
135,Sansevieria Combo Of 2 Beautiful Plants Black Ants And Silver Boncel,Sansevieria (Combo),Rs. 575.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-of-2-beautiful-plants-black-ants-and-silver-boncel,False,Combo,"['Black Ants', 'Silver Boncel']",2
136,Moonshine Mutant,Moonshine Mutant,"Rs. 1,100.00",https://fermosaplants.com/collections/sansevieria/products/moonshine-mutant,False,Plant,[],1
137,Sansevieria Hahnii Gaster,Sansevieria Hahnii Gaster,Rs. 650.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hahnii-gaster,False,Plant,[],1
138,Sansevieria 'Blue' Banana,Sansevieria Ehrenbergii 'Banana',"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-banana,False,Plant,[],1
139,Sansevieria 'Fat' Banana,Sansevieria Ehrenbergii 'Banana',Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-fat-banana,False,Plant,[],1
140,Sansevieria Trifaciata 'Green Arrow',Sansevieria Trifaciata 'Green Arrow',Rs. 699.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-trifaciata-green-arrow,False,Plant,[],1
141,Sansevieria Trifaciata 'Banded Nelsonii',Trifaciata 'Banded Nelsonii',"Rs. 1,100.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-trifaciata-banded-nelsonii,False,Plant,[],1
142,Sansevieria Hybrid 'Black Ant',"Sansevieria Hybrid Ch 17023 ""Fighter""","Rs. 3,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-black-ant,False,Plant,[],1
143,Sansevieria Hybrid 'Fighter',"Sansevieria Hybrid Ch 17023 ""Fighter""",Rs. 600.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-fighter,False,Plant,[],1
144,Sansevieria 'Pink Cell',Sansevieria 'Pink Cell' ,Rs. 650.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-pink-cell,False,Plant,[],1
145,Sansevieria Hybrid 'Kasih',Sansevieria Hybrid 'Kasih',"Rs. 2,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-kasih-1,False,Plant,[],1
146,Sansevieria Hybrid 'Kasih' Offshoot Of Large Specimen,Sansevieria Hybrid 'Kasih',"Rs. 1,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-kasih-offshoot-of-large-mother-plant,False,Plant,[],1
147,Sansevieria Hybrid 'Kasih',Sansevieria Hybrid 'Kasih',Rs. 600.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-kasih,False,Plant,[],1
148,Sansevieria 'Sunflower',Sansevieria 'Sunflower',"Rs. 1,499.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-sunflower,False,Plant,['Hybrid From Thailan'],1
149,Sansevieria Hawaiian Star (Single Leaf),Sansevieria Hawaiian Star,Rs. 499.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hawaiian-star-single-leaf,False,Single Leaf,[],1
150,Sansevieria Francisii Yellow Variegated,Sansevieria Francisii Yellow Variegated,"Rs. 1,650.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-francisii-white-yellow,True,Plant,[],1
151,Sansevieria Francisii,Sansevieria Francisii,Rs. 250.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-francisii,False,Plant,[],1
152,Sansevieria Boncel Plantinum Cross,Sansevieria Boncel Plantinum Cross,Rs. 650.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-boncel-plantinum-cross,False,Plant,[],1
153,Sansevieria Boncel Plantinum,Sansevieria Boncel Plantinum,Rs. 699.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-boncel-plantinum,False,Plant,[],1
154,Sansevieria Manee,Sansevieria Manee,Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-manee,False,Plant,[],1
155,Sansevieria Rocker,Sansevieria Rocker,"Rs. 5,000.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-rocker,False,Plant,[],1
156,Sansevieria Pink Boncel,Sansevieria Pink Boncel,Rs. 600.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-pink-boncel,False,Plant,[],1
157,Sansevieria Meena,Sansevieria Meena,Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-meena,False,Plant,[],1
158,Sansevieria Mini Gold,Sansevieria Mini Gold,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-mini-gold,False,Plant,[],1
159,Sansevieria Snow Boy,Sansevieria Snow Boy,"Rs. 1,850.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-snow-boy,False,Plant,[],1
160,Sansevieria Fat Man,Sansevieria Fat Man,"Rs. 1,450.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-fat-man,False,Plant,[],1
161,Sansevieria Ming Manee,Sansevieria Ming Manee,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-ming-manee,False,Plant,[],1
162,Sansevieria Ebracteata Variegated,Sansevieria Ebracteata Variegated,"Rs. 1,150.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-ebracteata-variegated,True,Plant,[],1
163,Sansevieria Hybrid 'Jatayu',Sansevieria Hybrid 'Jatayu',"Rs. 1,750.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-jatayu,False,Plant,[],1
164,Sansevieria Moonshine Mutant,Sansevieria Moonshine Mutant,"Rs. 1,250.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-moonshine-mutant,False,Plant,[],1
165,Sansevieria Samurai Variegated (B),Sansevieria Samurai Variegated,"Rs. 3,500.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-samurai-variegated-b,True,Plant,[],1
166,Sansevieria Blue Leaf Variegated (B),Sansevieria Blue Leaf Variegated,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-leaf-variegated-b,True,Plant,[],1
167,Sansevieria Blue Leaf Variegated (A),Sansevieria Blue Leaf Variegated,Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-blue-leaf-variegated-a,True,Plant,[],1
168,Sansevieria Hybrid 'Nilin',Sansevieria Hybrid Nilin,"Rs. 1,750.00",https://fermosaplants.com/collections/sansevieria/products/sansevieria-nilin,False,Plant,[],1
