S.No,Product Listing,Scientific Name,Price,URL,Variegated,Type,Combo Names,Units
25,Sansevieria Silver Siam Clump,Sansevieria Silver Siam,Rs. 450.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-silver-siam-clump,False,Clump,[],1
26,Sansevieria Whale Fin Yellow Border (Single Leaf),Sansevieria Masoniana,Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-whale-fin-yellow-border-single-leaf,False,Single Leaf,[],1
27,Sansevieria Mini Boncel,Sansevieria Mini Boncel,Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-mini-boncel,False,Plant,[],1
28,Sansevieria Combo Offer Of 3 (S),Sansevieria (Combo),Rs. 399.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-3-s,False,Combo,"['Mini Boncel', 'Pinguicula', 'Mini Ballyi']",3
29,Sansevieria Hu-Chang,Sansevieria Hu-Chang,Rs. 750.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hu-chang,False,Plant,[],1
30,Sansevieria Fernwood Clump,Sansevieria Fernwood,Rs. 199.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-fernwood-clump,False,Clump,[],1
31,Sansevieria Francisii Combo Of 3,Sansevieria (Combo),Rs. 850.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-francisii-combo-of-3,False,Combo,"['Francisii Yellow Variegated', 'Francisii Green', 'Francisii White Variegate']",3
32,Sansevieria Crocodile Rock Clump,Sansevieria Crocodile Rock,Rs. 299.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-crocodile-rock-clump,False,Clump,[],1
33,Sansevieria Brazillian Moonshine,Brazillian Moonshine,Rs. 599.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-brazillian-moonshine,False,Plant,[],1
34,Sansevieria Combo Offer Of 3 (Z),Sansevieria (Combo),Rs. 550.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-3-z,False,Combo,"['Baicularis', 'Fischeri', 'Canaliculata']",3
35,Sansevieria Combo Offer Of 5 (T),Sansevieria (Combo),Rs. 650.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-combo-offer-of-5-t,False,Combo,"['Subspicata', 'Moonshine', 'Superba', 'Zeylanica', 'Robusta']",5
36,Sansevieria Iceman,Sansevieria Iceman,Rs. 600.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-iceman,False,Plant,[],1
37,Sansevieria Kirkii Silver Blue,Sansevieria Kirkii Silver Blue,Rs. 300.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-kirkii-silver-blue,False,Plant,[],1
38,Sansevieria Hybrid 'Tower' Pup,Sansevieria Hybrid 'Tower',Rs. 350.00,https://fermosaplants.com/collections/sansevieria/products/sansevieria-hybrid-tower-pup,False,Pup,[],1
